IFM,Account,Account Owner,Sum of RV,Sum of Margin,Sum of Margin % Calc,Sum of Perf $,Sum of 22 Day Gap,Sum of Growth % Calc,Sum of YTD RV,Sum of YTD Margin,Sum of YTD Margin % Calc,Sum of YTD Perf $,Sum of Workers Comp,Sum of YTD Workers Comp,Sum of TIR Calc,Sum of Incidents,Sum of TRIR Calc,Sum of Recordables,Sum of Turnover Rate Calc,Average of CSAT,,,,,,
Aramark,Anheuser Busch,TBH, 68.28 , 10.34 ,15.1%, 3.51 , 3.51 ,13.8%, 68.28 , 10.34 ,15.1%, 3.51 , -   , -   , -   , -   , -   , -   ,0.0%,,,,,,,
Aramark,Samsung,Alex Herrera, 21.76 , 6.81 ,31.3%, 4.64 , 8.49 ,0.0%, 21.76 , 6.81 ,31.3%, 4.64 , -   , -   , -   , -   , -   , -   ,0.0%,,,,,,,
