IFM,Account,Account Owner,Sum of RV,Sum of Margin,Sum of Margin % Calc,Sum of Perf $,Sum of 22 Day Gap,Sum of Growth % Calc,Sum of YTD RV,Sum of YTD Margin,Sum of YTD Margin % Calc,Sum of YTD Perf $,Sum of Workers Comp,Sum of YTD Workers Comp,Sum of TIR Calc,Sum of Incidents,Sum of TRIR Calc,Sum of Recordables,Sum of Turnover Rate Calc,Average of CSAT,,,,,,
Amentum,Intel,Jeremy Johnson," 3,159.25 ", 298.13 ,9.4%, (14.30), 8.67 ,-0.9%," 3,159.25 ", 298.13 ,9.4%, (14.30), -   , -   , -   , -   , -   , -   ,0.9%,,,,,,,
Amentum,Danfoss Power Solutions,TBH, 153.28 , 28.26 ,18.4%, 13.84 , 15.56 ,-1.7%, 153.28 , 28.26 ,18.4%, 13.84 , -   , -   , -   , -   , -   , -   ,0.0%,,,,,,,
Amentum,GE Power,Logan Newman, 104.90 , 23.36 ,22.3%, 12.87 , 12.87 ,-4.0%, 104.90 , 23.36 ,22.3%, 12.87 , -   , -   , -   , -   , -   , -   ,5.9%,,,,,,,
Amentum,Mercedes Benz,TBH, 51.36 , 6.15 ,12.0%, 1.02 , 1.02 ,0.0%, 51.36 , 6.15 ,12.0%, 1.02 , -   , -   , -   , -   , -   , -   ,0.0%,,,,,,,
Amentum,Google,Paul Rhodes, 19.98 , 2.81 ,14.0%, 0.81 , 0.81 ,0.0%, 19.98 , 2.81 ,14.0%, 0.81 , -   , -   , -   , -   , -   , -   ,0.0%,,,,,,,
Amentum,Intel - Costa Rica,TBH, 9.51 , 2.07 ,21.8%, 0.79 , 0.79 ,18.8%, 9.51 , 2.07 ,21.8%, 0.79 , -   , -   , -   , -   , -   , -   ,0.0%,,,,,,,
